Student_ID,Name,Math_Score,Science_Score,Attendance_Percentage,Final_Grade
1,John,85.0,80.0,95.0,A
2,Alice,90.0,85.0,87.0,A
3,Bob,78.0,,78.0,B
4,Daisy,,76.0,85.0,C
5,Ethan,88.0,82.0,90.0,A
6,Fiona,95.0,110.0,92.0,A
7,George,200.0,75.0,,F
8,Hannah,70.0,88.0,88.0,B
9,Ian,92.0,91.0,150.0,A
10,Jane,89.0,87.0,85.0,B
11,Student_11,84.97,81.89,80.92,D
12,Student_12,78.62,73.38,85.9,C
13,Student_13,86.48,69.88,86.29,C
14,Student_14,95.23,85.34,83.99,A
15,Student_15,77.66,90.37,87.19,A
16,Student_16,77.66,89.18,90.02,D
17,Student_17,95.79,67.93,97.43,C
18,Student_18,87.67,74.29,88.87,A
19,Student_19,75.31,81.98,89.29,A
20,Student_20,85.43,89.71,87.63,C
21,Student_21,75.37,72.25,78.41,A
22,Student_22,75.34,75.77,87.87,A
23,Student_23,82.42,64.72,88.3,B
24,Student_24,60.87,63.65,100.32,C
25,Student_25,62.75,87.75,87.04,C
26,Student_26,74.38,94.27,89.51,A
27,Student_27,69.87,77.14,87.83,C
28,Student_28,83.14,90.04,82.16,A
29,Student_29,70.92,82.34,93.71,B
30,Student_30,65.88,70.26,91.76,C
31,Student_31,94.66,82.34,91.96,C
32,Student_32,77.74,96.46,83.45,D
33,Student_33,80.68,77.57,95.01,C
34,Student_34,65.75,96.78,80.99,B
35,Student_35,74.56,46.56,90.93,A
36,Student_36,81.11,87.86,98.95,B
37,Student_37,68.49,79.04,83.05,A
38,Student_38,83.76,74.41,85.17,A
39,Student_39,73.99,79.1,88.5,F
40,Student_40,77.08,54.15,85.48,B
41,Student_41,73.98,75.36,80.25,D
42,Student_42,98.52,82.29,88.34,C
43,Student_43,79.87,95.73,82.69,C
44,Student_44,69.42,71.78,90.37,B
45,Student_45,88.23,68.3,83.4,B
46,Student_46,67.79,71.98,95.75,B
47,Student_47,82.09,88.98,84.08,A
48,Student_48,60.4,81.95,86.39,C
49,Student_49,66.72,71.64,92.07,A
50,Student_50,81.97,84.16,81.85,A
51,Student_51,87.38,79.16,89.14,C
52,Student_52,81.71,89.62,94.54,A
53,Student_53,78.84,69.58,79.96,F
54,Student_54,76.99,74.07,88.92,F
55,Student_55,65.21,73.29,89.3,F
56,Student_56,72.8,60.44,91.91,B
57,Student_57,75.39,81.55,81.82,A
58,Student_58,90.57,81.13,81.4,F
59,Student_59,83.44,78.06,90.61,B
60,Student_60,62.37,75.18,89.48,F
